行号,标签,预测,判定
15,"图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{bottle}，根据垃圾分类的标准，应该属于{bottle},0
16,"图中展示的物品是湿纸巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
17,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是飞机模型，根据垃圾分类的标准，应该属于废品,0
18,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是棋子，根据垃圾分类的标准，应该属于可回收物,1
19,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,0
20,"图中展示的物品是花生皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{peanut}，根据垃圾分类的标准，应该属于{food},1
21,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于烟蒂",0
22,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[petal]，根据垃圾分类的标准，应该属于[厨余垃圾],0
23,"图中展示的物品是报纸,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是报纸，根据垃圾分类的标准，应该属于{garbage_type}纸张。,1
24,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[钟表]，根据垃圾分类的标准，应该属于[废金属],1
25,"图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是冰块，根据垃圾分类的标准，应该属于其他垃圾。,0
26,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
27,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
28,"图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
29,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
30,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
31,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
32,"图中展示的物品是锅盖,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[food]，根据垃圾分类的标准，应该属于[厨余垃圾],0
33,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是快递单，根据垃圾分类的标准，应该属于{garbage_type}--废弃物品,0
34,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是报纸，根据垃圾分类的标准，应该属于可回收物。,0
35,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
36,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[票],根据垃圾分类的标准，应该属于[垃圾]",0
37,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾。,1
38,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",电池{garbage_type},1
39,"图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电源适配器，根据垃圾分类的标准，应该属于电子废弃物,0
40,"图中展示的物品是望远镜,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是望远镜，根据垃圾分类的标准，应该属于不可回收垃圾,0
41,"图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是牛皮纸，根据垃圾分类的标准，应该属于其他垃圾。,0
42,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电路板，根据垃圾分类的标准，应该属于电子垃圾。,0
43,"图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
44,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是梳子，根据垃圾分类的标准，应该属于废塑料（garbage_type）,0
45,"图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物",1
46,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
47,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
48,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸袋，根据垃圾分类的标准，应该属于可回收物。,1
49,"图中展示的物品是收音机,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{radio_object},根据垃圾分类的标准，应该属于{garbage_type}",1
50,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[文具_object],根据垃圾分类的标准，应该属于[废纸类]",0
51,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,1
52,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是瓶子，根据垃圾分类的标准，应该属于可回收物。,1
53,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电路板，根据垃圾分类的标准，应该属于电子垃圾。,0
54,"图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
55,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
56,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
57,"图中展示的物品是哈密瓜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[fruit]，根据垃圾分类的标准，应该属于[可回收物],0
58,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
59,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
60,"图中展示的物品是帽子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
61,"图中展示的物品是空调滤芯,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
62,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是手表，根据垃圾分类的标准，应该属于垃圾,0
63,"图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
64,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是玩具,根据垃圾分类的标准，应该属于玩具垃圾",0
65,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},0
66,"图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是日历,根据垃圾分类的标准，应该属于垃圾",0
67,"图中展示的物品是保健品瓶,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是钙铁锌硒维生素咀嚼片，根据垃圾分类的标准，应该属于有害垃圾。,1
68,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是墨盒，根据垃圾分类的标准，应该属于有害垃圾。,0
69,"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
70,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
71,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
72,"图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是{pill}，根据垃圾分类的标准，应该属于{garbage_type},1
73,"图中展示的物品是空调滤芯,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是{car_filter}，根据垃圾分类的标准，应该属于{car_filter},0
74,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
75,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
76,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是jar，根据垃圾分类的标准，应该属于可回收垃圾。,1
77,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是饼干，根据垃圾分类的标准，应该属于厨余垃圾。,1
78,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是药片，根据垃圾分类的标准，应该属于垃圾,0
79,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
80,"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{no garbage}，根据垃圾分类的标准，应该属于{no garbage},0
81,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,0
82,"图中展示的物品是话筒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是麦克风，根据垃圾分类的标准，应该属于可回收垃圾。,1
83,"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[metal]，根据垃圾分类的标准，应该属于[金属],1
84,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{handbag}，根据垃圾分类的标准，应该属于{garbage_type}。,1
85,"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{green_peas}，根据垃圾分类的标准，应该属于{vegetable},0
86,"图中展示的物品是吹风机,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
87,"图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是盘子，根据垃圾分类的标准，应该属于厨余垃圾。,0
88,"图中展示的物品是笔及笔芯,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
89,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
90,"图中展示的物品是热水瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
91,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
92,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
93,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
94,"图中展示的物品是炸鸡,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
95,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是台灯，根据垃圾分类的标准，应该属于可回收垃圾。,1
96,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{vegetable},0
97,"图中展示的物品是胶带,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾。",1
98,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于可回收物。,1
99,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是杯子，根据垃圾分类的标准，应该属于可回收物。,1
100,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是南瓜籽，根据垃圾分类的标准，应该属于可回收物,0
101,"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{brush_object},根据垃圾分类的标准，应该属于{trash}",0
102,"图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{pill},根据垃圾分类的标准，应该属于{garbage_type}",1
103,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是手表，根据垃圾分类的标准，应该属于废金属,1
104,"图中展示的物品是图钉,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
105,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,1
106,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸张，根据垃圾分类的标准，应该属于可回收物。,1
107,"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是钳子，根据垃圾分类的标准，应该属于金属垃圾,0
108,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{glassware}，根据垃圾分类的标准，应该属于{recyclable},1
109,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
110,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于可回收物,1
111,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
112,"图中展示的物品是奶茶杯,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是杯子，根据垃圾分类的标准，应该属于可回收物,0
113,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸盒，根据垃圾分类的标准，应该属于可回收物,1
114,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
115,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},0
116,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是尺子，根据垃圾分类的标准，应该属于其他垃圾,0
117,"图中展示的物品是荷包蛋,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食品，根据垃圾分类的标准，应该属于食品垃圾。,1
118,"图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,0
119,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是饼干，根据垃圾分类的标准，应该属于可回收垃圾。,0
120,"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物",垃圾物品,0
121,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
122,"图中展示的物品是餐垫,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
123,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是苹果，根据垃圾分类的标准，应该属于厨余垃圾。,0
124,"图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[no garbage],根据垃圾分类的标准，应该属于[recyclable]",1
125,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{grass}，根据垃圾分类的标准，应该属于{green},0
126,"图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[电子垃圾],根据垃圾分类的标准，应该属于[电子垃圾]",0
127,"图中展示的物品是八宝粥,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[food]，根据垃圾分类的标准，应该属于[food]。,1
128,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
129,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是牛油，根据垃圾分类的标准，应该属于厨余垃圾。,0
130,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是果仁，根据垃圾分类的标准，应该属于垃圾食品,0
131,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,1
132,"图中展示的物品是呼啦圈,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是陀螺，根据垃圾分类的标准，应该属于可回收物,0
133,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
134,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
135,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于可回收物,1
136,"图中展示的物品是百洁布,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是洗碗布，根据垃圾分类的标准，应该属于可回收垃圾,0
137,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
138,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
139,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于电子垃圾,0
140,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
141,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
142,"图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
143,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是报纸，根据垃圾分类的标准，应该属于可回收垃圾,0
144,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玩具，根据垃圾分类的标准，应该属于垃圾玩具。,0
145,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
146,"图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
147,"图中展示的物品是餐盒,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是锡纸，根据垃圾分类的标准，应该属于不可回收垃圾。,0
148,"图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
149,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是西瓜，根据垃圾分类的标准，应该属于可回收物。,0
150,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
151,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电子元件，根据垃圾分类的标准，应该属于电子垃圾。,0
152,"图中展示的物品是充电头,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{no garbage object}，根据垃圾分类的标准，应该属于{receptacle},0
153,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾",垃圾物品：汉堡包、炸薯条 垃圾类型：食物垃圾,1
154,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是巢,0
155,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
156,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
157,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
158,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,1
159,"图中展示的物品是奶盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾",1
160,"图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是[flyswatter]，根据垃圾分类的标准，应该属于[recycling]。,0
161,"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[food]，根据垃圾分类的标准，应该属于[food waste],1
162,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
163,"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{none}，根据垃圾分类的标准，应该属于{none},0
164,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
165,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是墨盒，根据垃圾分类的标准，应该属于可回收物。,1
166,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃瓶,1
167,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",1
168,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收垃圾。,0
169,"图中展示的物品是餐垫,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
170,"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
171,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是鸡蛋，根据垃圾分类的标准，应该属于厨余垃圾。,1
172,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
173,"图中展示的物品是鼠标,根据垃圾分类的标准，应该属于可回收物",鼠标,1
174,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子废弃物,0
175,"图中展示的物品是一次性棉签,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
176,"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},1
177,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[food_object],根据垃圾分类的标准，应该属于[food]",1
178,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
